
law,company,full_text,link
GDPR – tracking without consent,Pinterest,"In October 2024, noyb filed a complaint against Pinterest for placing tracking cookies and processing personal data for personalised ads without valid consent.  The article explains that Pinterest relies on a “legitimate interest” argument to avoid asking for consent but still uses cookies and tracking technologies to build user profiles.  noyb argues that this practice violates the GDPR because personalised advertising requires opt‑in consent.  The complaint requests that authorities fine Pinterest and require it to collect valid consenthttps://noyb.eu/en/pinterest-pins-users-data-down-without-consent#:~:text=Today%2C%20noyb%C2%A0filed%20a%20complaint%20against,legally%20flawed%20argument%20years%20ago.",https://noyb.eu/en/pinterest-spies-users-data-after-cookie-consent-rejection
GDPR – unnecessary data collection for offline games,Ubisoft,"noyb’s April 2025 complaint accuses game developer Ubisoft of forcing players of its offline games to connect to the internet so it can collect data about their gameplay.  According to the article, Ubisoft collects information about when players start a game, how long they play and which servers they connect to, even for single‑player games.  noyb argues there is no legal basis for this data collection under the GDPR because the information is not necessary for providing the game.  It asks the Austrian Data Protection Authority to declare the processing unlawful and to impose a finehttps://noyb.eu/en/play-alone-ubisoft-still-watching-you#:~:text=Today%2C%20noyb%20filed%20a%20complaint,randomly%20collect%20such%20user%20data.",https://noyb.eu/en/ubisoft-forces-offline-gamers-connect-internet-gdpr-complaint
GDPR – unlawful use of personal data for AI training and failure to offer opt‑out,Meta Platforms (Facebook/Instagram),"In June 2024, noyb lodged complaints with 11 European data protection authorities to stop Meta from using all user data for training its artificial intelligence systems.  The article explains that Meta planned to change its privacy policy to claim a “legitimate interest” for AI training and would use posts, interactions and tracking data for unspecified AI technologies.  noyb argues this violates the GDPR because Meta failed to obtain consent and offered an impractical opt‑out that required scanning ID documents and describing personal reasons.  The complaints ask authorities to prohibit the practice and fine Metahttps://noyb.eu/en/noyb-urges-11-dpas-immediately-stop-metas-abuse-personal-data-ai#:~:text=Over%20the%20past%20few%20days%2C,force%20on%2026%20June%202024.",https://noyb.eu/en/meta-ai-draft-gdpr-complaints
GDPR – inaccurate personal data and failure to rectify,OpenAI (ChatGPT),"noyb’s April 2024 complaint against OpenAI argues that the company’s ChatGPT system cannot correct false information about individuals, violating the GDPR’s accuracy and rectification requirements.  The article notes that ChatGPT invents details about people and cannot provide sources for its statements.  When an individual demanded correction of false claims, OpenAI responded that it could not fix the data due to the way the system works.  noyb contends that providing inaccurate personal data and refusing to rectify it violates Articles 5(1)(d) and 16 of the GDPR and asks regulators to order OpenAI to comply and impose a finehttps://noyb.eu/en/chatgpt-provides-false-information-about-people-and-openai-cant-correct-it#:~:text=In%20the%20EU%2C%20the%20GDPR,OpenAI%20with%20the%20Austrian%20DPA.",https://noyb.eu/en/chatgpt-cant-fix-false-information-noyb-files-gdpr-complaint
GDPR – unlawful use of personal data for AI training and lack of consent,Twitter (X) – AI training,"In August 2024, noyb filed nine complaints against Twitter (now X) after the company began using the personal data of about 60 million EU users to train its AI systems, including the “Grok” chatbot.  The article explains that Twitter claimed a legitimate interest for the processing but did not obtain user consent or provide clear opt‑outs.  noyb argues that the processing of social media posts, messages and interactions for AI training lacks a lawful basis under the GDPR.  It asks regulators in Austria, Spain, Italy and other countries to order Twitter to stop processing and impose fineshttps://noyb.eu/en/twitters-ai-plans-hit-9-more-gdpr-complaints#:~:text=Recently%2C%20Twitter%20International%20%28now%20re,follows%20up%20with%20nine%20complaints.",https://noyb.eu/en/twitter-recycles-personal-data-train-its-ai-new-wave-gdpr-complaints
GDPR and Digital Services Act – illegal micro‑targeting of political ads,Twitter (X),"In December 2023, noyb filed a complaint against Twitter/X for illegally using sensitive personal data to micro‑target European users with political advertising.  The article states that Twitter promoted the EU’s “chat control” regulation to users based on inferred political views, religious beliefs and sexual orientation, in violation of the GDPR and the Digital Services Act.  X’s advertising rules prohibit targeting based on sensitive categories, but the platform ignored its own policies.  noyb asked the Dutch Data Protection Authority to impose a fine and require X to cease the micro‑targetinghttps://noyb.eu/en/gdpr-complaint-against-x-twitter-over-illegal-micro-targeting-chat-control-ads#:~:text=Today%2C%20noyb%20filed%20a%20complaint,the%20GDPR%20and%20the%20DSA.",https://noyb.eu/en/x-illegally-micro-targeted-eu-users-sensitive-data-noyb-files-complaint
GDPR – dark pattern consent banners and repeated prompts,BeReal,"In December 2024, noyb filed a complaint against the social media platform BeReal for using a consent banner that repeatedly pressures users to accept tracking cookies.  According to the article, when users refuse consent, the banner reappears every 24 hours, creating a dark pattern designed to coerce users into agreeing.  noyb argues that such repeated requests invalidate consent under the GDPR because consent must be freely given and unambiguous.  The complaint asks the French data protection authority CNIL to declare the practice unlawful and impose a finehttps://noyb.eu/en/bereal-app-wont-take-no-answer#:~:text=Today%2C%20noyb%20has%20filed%20a,latest%20trend%20in%20%E2%80%9Cdark%20pattern%E2%80%9D.",https://noyb.eu/en/bereal-dark-pattern-cookie-consent
Consumer protection law and GDPR – AI training without consent,Meta Platforms (Verbraucherzentrale NRW case),"In May 2025, German consumer organisation Verbraucherzentrale NRW and noyb sent Meta a cease and desist letter after the company announced it would use all personal data – posts, photos and other content – for training its AI systems.  The article explains that Meta planned to rely on a “legitimate interest” justification and did not provide a proper opt‑in mechanism.  Verbraucherzentrale NRW argues that Meta’s plan violates the GDPR, particularly because users are not offered a real choice.  The letter threatened legal action if Meta did not withdraw its AI training policyhttps://noyb.eu/en/verbraucherzentrale-nrw-requests-meta-cease-and-desist-ai-training-eu#:~:text=On%2014%20April%2C%20Meta%20announced,fully%20supports%20the%20Verbraucherzentrale%27s%20action.",https://noyb.eu/en/meta-ai-training-sued-german-consumer-organisation
GDPR – scraping LinkedIn data without consent,KASPR (Leads / Captain Data),"The EDPB’s national news section reported that the French data protection authority CNIL fined KASPR (also known as Captain Data) €240,000 for scraping personal data from LinkedIn without a legal basis.  KASPR offered a browser extension that allowed users to collect the contact details of LinkedIn profiles and use them for marketing.  CNIL found multiple GDPR breaches: no lawful basis for processing, indefinite retention periods, failure to inform individuals about the data collection, and refusal to honor data deletion requests.  It ordered the company to cease scraping and to comply with transparency and retention requirementshttps://www.edpb.europa.eu/news/news/2025/data-scraping-french-supervisory-authority-fined-kaspr-eu240-000_en#:~:text=.",https://edpb.europa.eu/news/national-news/2024/cnil-imposes-eu240000-fine-kaspr-leads-unlawful-scraping-linkedin-profiles_en
COPPA and FTC Act – collection of children’s data without consent,Epic Games (Fortnite),"The U.S. Department of Justice announced in December 2022 that Epic Games agreed to pay a $275 million civil penalty for violating the Children’s Online Privacy Protection Act by collecting personal information from children under 13 who played Fortnite without notifying parents or obtaining consent.  The complaint alleged Epic’s default settings enabled real‑time voice and text communications between children and adults, exposing children to bullying and harassment.  The settlement requires Epic to implement privacy safeguards, disable live communications by default for minors, delete personal data previously collected in violation of COPPA, and submit periodic audits to the FTChttps://www.justice.gov/archives/opa/pr/epic-games-inc-developer-fortnite-video-game-agrees-275-million-penalty-and-injunction#:~:text=Office%20of%20Public%20Affairs.",https://www.justice.gov/opa/pr/epic-games-agrees-pay-520-million-settle-ftc-allegations-dark-patterns-privacy-violations
Digital Markets Act – anti‑steering and unfair consent or pay model,Apple,"An April 2025 European Commission press release announced that Apple and Meta were found in breach of the Digital Markets Act (DMA).  The Commission concluded that Apple violated the DMA’s anti‑steering obligation by preventing app developers from informing users about alternative, cheaper offers outside the App Store.  Apple also charged high fees for external payments.  The Commission ordered Apple to remove anti‑steering clauses and remove technical restrictions, imposing a fine of €500 million for non‑compliance.  The press release notes that the DMA requires gatekeepers like Apple to allow developers to steer users to third‑party offers and to refrain from self‑preferencing.  The decision opens a formal investigation into Apple’s compliance.",https://ec.europa.eu/commission/presscorner/detail/en/ip_25_2076
Digital Markets Act – unfair consent-or-pay and anti‑steering,Meta Platforms (Facebook/Instagram),The same April 2025 Commission press release stated that Meta breached the Digital Markets Act by offering a “consent or pay” model that forced EU users to either accept personalised advertising or pay a subscription.  The Commission found that Meta’s model failed to provide a genuinely equivalent alternative service and thus did not comply with the DMA’s requirement to allow users to opt for less personal data use.  Meta was fined €200 million.  The Commission also noted that Meta had previously been fined €1.2 billion under the GDPR for data transfers.  The DMA decision requires Meta to provide a version of its social networks that uses less personal data without charging users.,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_2076
Antitrust – abuse of dominant position (Article 102 TFEU),Meta Platforms (Facebook),"In November 2024, the European Commission fined Meta €797.72 million for tying Facebook Marketplace to the social network and imposing unfair trading conditions on competing classified advertising services.  According to the Commission’s press release, Meta embedded the Marketplace as a feature of Facebook, automatically giving it access to the social network’s user base and data.  This practice constituted an abusive tying and self‑preferencing under Article 102 of the Treaty on the Functioning of the European Union (TFEU).  Meta also imposed unfair trading conditions on competitors that use Facebook for business, which hindered competition.  The Commission ordered Meta to stop the conduct and align its practices with EU antitrust rules.",https://ec.europa.eu/commission/presscorner/detail/en/ip_24_6136
FTC Act – unfair and deceptive practices (invasion of privacy),Amazon/Ring,"A June 2023 Electronic Frontier Foundation article summarised the FTC’s settlement with Ring, a home‑security camera company owned by Amazon.  The FTC alleged that Ring gave employees and contractors unrestricted access to customers’ private video footage and failed to implement basic security protections, allowing hackers to access accounts.  The settlement required Ring to pay $5.8 million in refunds, delete any products or algorithms derived from improperly obtained data, implement a comprehensive privacy and security program, and require multi‑factor authentication for all customer accounts.  The EFF article criticised the settlement for not addressing Ring’s business model of pervasive surveillance and called for stronger privacy protectionshttps://www.eff.org/deeplinks/2023/06/ftc-forces-ring-take-user-privacy-seriously#:~:text=,device%20on%20a%20closed%20door.",https://www.eff.org/deeplinks/2023/06/ftc-settlement-ring-doesnt-do-enough-protect-users-privacy
